anio,estado,suicidios_hombres,suicidios_mujeres,suicidios_total,poblacion,tasa_hombres,tasa_mujeres,tasa_suicidio
1990,NACIONAL,1667,289,1959,84502988.0,3.98283210613763,0.677634672329285,2.31826121935475
1990,AGUASCALIENTES,11,0,11,750856.0,2.98344729197914,0.0,1.46499461947431
1990,BAJA CALIFORNIA,38,1,39,1735043.0,4.33509360950161,0.116485492896715,2.24778290797404
1990,BAJA CALIFORNIA SUR,16,0,16,328819.0,9.48344841893133,0.0,4.86589886837439
1990,CAMPECHE,36,4,40,557351.0,12.7574072695959,1.45368909951229,7.17680599837445
1990,COAHUILA,58,6,64,2042250.0,5.67369226284456,0.58824221461429,3.13379850654915
1990,COLIMA,20,1,21,443360.0,9.01201301334679,0.451601831697029,4.73655719956694
1990,CHIAPAS,35,7,42,3322958.0,2.0896083775385,0.424756508331599,1.2639341213461
1990,CHIHUAHUA,72,11,83,2538242.0,5.66271901745533,0.868351584504819,3.26997977340222
1990,CIUDAD DE MÉXICO,203,39,242,8485531.0,4.95609098699453,0.888471535080615,2.85191345126192
1990,DURANGO,23,3,26,1403415.0,3.29670644692446,0.42508030475424,1.8526237784262
1990,GUANAJUATO,67,12,79,4137393.0,3.31653779194814,0.566782573702989,1.90941493834402
1990,GUERRERO,24,3,27,2740528.0,1.77364715063585,0.216234294182433,0.985211608857855
1990,HIDALGO,17,4,21,1953045.0,1.75323342652972,0.406748775686185,1.07524404199596
1990,JALISCO,102,31,134,5579963.0,3.74124795560973,1.08634707036726,2.40144961534691
1990,ESTADO DE MÉXICO,80,38,118,10253144.0,1.57076769896865,0.736420835826021,1.15086650494717
1990,MICHOACÁN,61,9,70,3727566.0,3.34520790741342,0.472673683945166,1.87790102173912
1990,MORELOS,20,5,25,1241502.0,3.2708278138114,0.793605444768236,2.01368986920682
1990,NAYARIT,12,3,15,854041.0,2.79591889039299,0.706141548427187,1.75635595949141
1990,NUEVO LEÓN,59,12,71,3208410.0,3.66392720832345,0.750884166105589,2.21293413248307
1990,OAXACA,46,7,53,3153088.0,2.95472778927909,0.43852477758963,1.68089187488583
1990,PUEBLA,37,8,45,4328841.0,1.73938633509889,0.363363180590592,1.03953922077526
1990,QUERÉTARO,20,2,22,1101195.0,3.66659639023585,0.359886995483418,1.99782963053773
1990,QUINTANA ROO,16,5,21,516230.0,5.95594831725848,2.01945951185625,4.06795420645836
1990,SAN LUIS POTOSÍ,61,8,70,2082161.0,5.89506399526849,0.763798254148141,3.36189180375581
1990,SINALOA,47,3,50,2271127.0,4.10712787673723,0.266246588715582,2.20155015549549
1990,SONORA,62,7,69,1885900.0,6.50027364055164,0.750997217018884,3.65873057956413
1990,TABASCO,134,17,151,1552821.0,17.1372372983018,2.20522040529357,9.72423737185419
1990,TAMAULIPAS,71,10,81,2329201.0,6.11805783546561,0.85565011440042,3.47758737867621
1990,TLAXCALA,12,2,14,795115.0,3.03812851283609,0.49983130693391,1.76075158939273
1990,VERACRUZ,125,18,144,6433250.0,3.90067812509069,0.557503548664949,2.23837096335445
1990,YUCATÁN,46,9,55,1421233.0,6.48683102792299,1.26386033500725,3.86987918237193
1990,ZACATECAS,25,4,29,1329409.0,3.81541335425197,0.593320398948636,2.18142046578592
1991,NACIONAL,1804,318,2128,86127477.0,4.23014968844268,0.731350022464865,2.47075622568161
1991,AGUASCALIENTES,10,1,11,774794.0,2.62807254531454,0.253622361376358,1.41973221269137
1991,BAJA CALIFORNIA,46,4,50,1807719.0,5.03482236380532,0.447386257636324,2.76591660540161
1991,BAJA CALIFORNIA SUR,12,2,14,338829.0,6.9089799466857,1.21107895023677,4.13187773183523
1991,CAMPECHE,29,6,35,574638.0,9.97307270370001,2.11375526236987,6.09079107194442
1991,COAHUILA,59,5,65,2076781.0,5.67840588860315,0.481808361687755,3.12984373412507
1991,COLIMA,17,7,24,453420.0,7.49377355579555,3.08962108004326,5.29310572978695
1991,CHIAPAS,24,7,31,3391579.0,1.40526000530486,0.41574855527377,0.914028539509179
1991,CHIHUAHUA,106,12,119,2595706.0,8.15413468476577,0.926103143194068,4.5844945459925
1991,CIUDAD DE MÉXICO,229,55,284,8505567.0,5.57898268103494,1.24975118590026,3.33898962879253
1991,DURANGO,16,3,19,1418394.0,2.26913018567158,0.420593373130813,1.33954317347648
1991,GUANAJUATO,54,11,65,4211764.0,2.62681943729636,0.51019319624906,1.54329634803849
1991,GUERRERO,33,5,38,2786492.0,2.39903689573349,0.354373679958042,1.36372184093836
1991,HIDALGO,13,9,22,1990230.0,1.31638237870296,0.897598922881293,1.10539987840601
1991,JALISCO,157,26,183,5691780.0,5.64269789965846,0.89364798449727,3.2151629191571
1991,ESTADO DE MÉXICO,75,21,96,10561726.0,1.43036224209854,0.394863094384125,0.908942345218954
1991,MICHOACÁN,60,16,76,3782550.0,3.24312053057452,0.827951647623779,2.00922657995268
1991,MORELOS,21,8,30,1281003.0,3.33010894213539,1.23002553840524,2.34191489012906
1991,NAYARIT,16,2,18,865996.0,3.67707047795022,0.464180361921428,2.07853154056139
1991,NUEVO LEÓN,67,7,75,3282300.0,4.06793821105435,0.428062820053398,2.28498309112513
1991,OAXACA,46,1,47,3188670.0,2.92348044159808,0.061911722551283,1.47396877067868
1991,PUEBLA,41,6,47,4411075.0,1.89274768334608,0.267271055613761,1.06549990648538
1991,QUERÉTARO,14,5,19,1134369.0,2.492668882768,0.873023910378858,1.6749399886633
1991,QUINTANA ROO,13,2,15,551595.0,4.5374267903639,0.75446359524537,2.71938650640416
1991,SAN LUIS POTOSÍ,48,5,53,2114998.0,4.56800909033809,0.469831199046807,2.50591253514188
1991,SINALOA,52,10,62,2308525.0,4.47194884090526,0.872812840124254,2.68569757745747
1991,SONORA,83,9,92,1928811.0,8.51156342037689,0.943725640081915,4.76977785796535
1991,TABASCO,153,21,175,1596233.0,19.0533830962868,2.64741700347694,10.9633117470946
1991,TAMAULIPAS,86,13,100,2374748.0,7.26818504123005,1.09105344567267,4.21097312220076
1991,TLAXCALA,6,4,10,815754.0,1.48188396848527,0.9735581603645,1.22585975674039
1991,VERACRUZ,131,23,154,6517804.0,4.0389241292727,0.702426057441349,2.36275899060481
1991,YUCATÁN,51,3,54,1454112.0,7.02985759713954,0.411728780527974,3.71360665478313
1991,ZACATECAS,26,7,33,1339515.0,3.93873748314675,1.03031328883361,2.4635782354061
1992,NACIONAL,1911,346,2258,87753131.0,4.39921441218553,0.780799428942253,2.5731275616821
1992,AGUASCALIENTES,9,5,14,798983.0,2.29312216226132,1.22999717100651,1.75222751923383
1992,BAJA CALIFORNIA,48,6,54,1883269.0,5.0416566883878,0.644329204972933,2.86735458397075
1992,BAJA CALIFORNIA SUR,15,1,16,348614.0,8.40194925222652,0.587944780226241,4.58960340089612
1992,CAMPECHE,41,4,45,592585.0,13.6812600106781,1.36563049452894,7.59384729616848
1992,COAHUILA,43,6,50,2108789.0,4.07790505688678,0.569083945572811,2.37102905980636
1992,COLIMA,23,1,24,463844.0,9.91575915914362,0.431238949501919,5.17415337915334
1992,CHIAPAS,42,7,49,3451963.0,2.41857883156153,0.408066661769867,1.4194821902784
1992,CHIHUAHUA,89,11,100,2653724.0,6.69880588140103,0.83010786119691,3.76828939256682
