_id,AÑO,CVE_ENT,ENTIDAD,HOMBRES,MUJERES,DESCONOCIDO,TOTAL,POBLACION_HOMBRES,POBLACION_MUJERES,POBLACION_TOTAL,TASA_HOMBRES,TASA_MUJERES,TASA_TOTAL
95,1992,26,Sonora,71,15,0,86,997315.0,976119.0,1973434.0,7.11911482330056,1.53669788212298,4.35788579704211
96,1992,27,Tabasco,108,17,0,125,823802.0,815405.0,1639207.0,13.1099463220531,2.08485353903888,7.62563849471116
97,1992,28,Tamaulipas,100,11,0,111,1206539.0,1214911.0,2421450.0,8.28816971519363,0.905416116900744,4.58403022982098
98,1992,29,Tlaxcala,12,2,0,14,414790.0,421582.0,836372.0,2.89303020805709,0.474403556129057,1.67389630451522
99,1992,30,Veracruz,128,19,0,147,3282403.0,3320501.0,6602904.0,3.89958210493958,0.572202809154402,2.22629315828308
100,1992,31,Yucatán,56,9,0,65,741598.0,744834.0,1486432.0,7.55126092573065,1.20832292833034,4.37288755893307
101,1992,32,Zacatecas,23,7,0,30,664441.0,683946.0,1348387.0,3.46155640606164,1.02347261333497,2.22488054245554
102,1992,33,Extranjero,12,0,0,12,,,,,,
103,1993,0,Nacional,2029,339,1,2369,44226367.0,45138193.0,89364560.0,4.58776096169057,0.751026962909215,2.65093902996893
104,1993,1,Aguascalientes,14,1,0,15,404533.0,418809.0,823342.0,3.4607807026868,0.238772328197341,1.8218431708816
105,1993,2,Baja California,48,1,0,49,991089.0,968860.0,1959949.0,4.84315737537194,0.103214086658547,2.50006505271311
106,1993,3,Baja California Sur,17,2,0,19,183401.0,175058.0,358459.0,9.26930605612838,1.14247849284237,5.3004667200433
107,1993,4,Campeche,31,3,0,34,308560.0,301950.0,610510.0,10.0466683951257,0.993541977148535,5.56911434702134
108,1993,5,Coahuila,55,4,1,60,1069581.0,1070550.0,2140131.0,5.14220054395132,0.373639717902013,2.80356669755263
109,1993,6,Colima,9,3,0,12,237101.0,237253.0,474354.0,3.79585071340905,1.26447294660131,2.52975625798454
110,1993,7,Chiapas,44,13,0,57,1764418.0,1746362.0,3510780.0,2.49374014547573,0.744404653788848,1.62357083041375
111,1993,8,Chihuahua,88,6,0,94,1357072.0,1354330.0,2711402.0,6.4845490880366,0.443023487628569,3.46684113974984
112,1993,9,Ciudad de México,235,51,0,286,4131554.0,4433324.0,8564878.0,5.68793243413979,1.15037836169881,3.33921860883483
113,1993,10,Durango,19,5,0,24,717860.0,725740.0,1443600.0,2.64675563480344,0.688951966268912,1.66251039068994
114,1993,11,Guanajuato,79,11,0,90,2120999.0,2226393.0,4347392.0,3.72465993619045,0.494072699653655,2.07020668943587
115,1993,12,Guerrero,36,11,0,47,1419256.0,1456009.0,2875265.0,2.53654027180438,0.755489835571071,1.63463193827352
116,1993,13,Hidalgo,21,2,0,23,1025416.0,1042581.0,2067997.0,2.04794932008083,0.19183161787909,1.11218730007829
117,1993,14,Jalisco,165,45,0,210,2893063.0,3017873.0,5910936.0,5.70329785421196,1.49111642537642,3.55273682543678
118,1993,15,Estado de México,85,22,0,107,5551492.0,5642098.0,11193590.0,1.53111992235601,0.389925875091145,0.955904227330106
119,1993,16,Michoacán,89,10,0,99,1898827.0,1983512.0,3882339.0,4.68710419643285,0.504156264242414,2.55000915685106
